GEO,quarter,VALUE
Saskatchewan,2023-Q3,767274
Saskatchewan,2023-Q4,787268
Saskatchewan,2024-Q1,815671
Saskatchewan,2024-Q2,365097
Yukon,2010-Q1,718277
Yukon,2010-Q2,723641
Yukon,2010-Q3,673564
Yukon,2010-Q4,706032
Yukon,2011-Q1,708065
Yukon,2011-Q2,685068
Yukon,2011-Q3,684803
Yukon,2011-Q4,700714
Yukon,2012-Q1,711200
Yukon,2012-Q2,672048
Yukon,2012-Q3,724344
Yukon,2012-Q4,714169
Yukon,2013-Q1,734884
Yukon,2013-Q2,792072
Yukon,2013-Q3,804754
Yukon,2013-Q4,737628
Yukon,2014-Q1,730985
Yukon,2014-Q2,717396
Yukon,2014-Q3,740360
Yukon,2014-Q4,734585
Yukon,2015-Q1,734238
Yukon,2015-Q2,724969
Yukon,2015-Q3,682448
Yukon,2015-Q4,720021
Yukon,2016-Q1,764955
Yukon,2016-Q2,734335
Yukon,2016-Q3,700253
Yukon,2016-Q4,764010
Yukon,2017-Q1,759420
Yukon,2017-Q2,750429
Yukon,2017-Q3,763468
Yukon,2017-Q4,807494
Yukon,2018-Q1,835670
Yukon,2018-Q2,901665
Yukon,2018-Q3,939098
Yukon,2018-Q4,859268
Yukon,2019-Q1,875102
Yukon,2019-Q2,903371
Yukon,2019-Q3,906350
Yukon,2019-Q4,873759
Yukon,2020-Q1,166082
Yukon,2020-Q2,13654
Yukon,2020-Q3,12730
Yukon,2020-Q4,40112
Yukon,2021-Q1,54029
Yukon,2021-Q2,30298
Yukon,2021-Q3,31580
Yukon,2021-Q4,135533
Yukon,2022-Q1,158762
Yukon,2022-Q2,244326
Yukon,2022-Q3,296802
Yukon,2022-Q4,516469
Yukon,2023-Q1,641236
Yukon,2023-Q2,827405
Yukon,2023-Q3,992978
Yukon,2023-Q4,746457
Yukon,2024-Q1,750239
Yukon,2024-Q2,258708
